rainfall_1h,rainfall_3h,rainfall_6h,rainfall_24h,rainfall_intensity,soil_moisture,river_level,river_level_change,elevation,slope,distance_to_river,historical_flood_frequency,flood_label
0.69,1.39,2.72,4.44,0.69,44.01,1.59,-0.18,1699.1,29.9,4.81,0.584,0
8.79,15.76,28.95,61.71,10.05,56.02,1.65,-0.29,2245.4,35.7,7.67,0.386,0
0.82,5.37,10.6,25.57,0.77,48.72,1.5,-0.37,2279.2,38.9,11.79,0.292,0
12.59,16.99,36.11,62.32,15.79,44.49,2.33,0.09,3160.5,41.9,8.53,0.189,0
34.2,81.32,132.27,257.09,32.6,82.3,4.17,0.86,1390.6,26.2,5.54,0.602,1
37.93,67.83,111.08,259.61,44.02,73.49,3.12,0.91,1217.5,23.5,5.16,0.618,0
15.71,42.75,59.08,97.31,15.38,63.65,2.67,0.2,2677.1,46.6,8.11,0.28,0
14.76,34.64,62.09,93.5,12.48,53.04,2.04,0.05,2062.8,31.0,5.8,0.495,0
12.02,33.61,67.11,97.66,12.11,64.99,2.5,0.04,557.2,21.0,3.67,0.767,0
44.11,87.86,104.37,248.12,47.04,82.03,4.26,1.81,3027.5,48.8,8.01,0.432,1
34.16,44.83,109.73,168.63,44.17,54.88,2.88,0.76,2265.9,40.2,8.72,0.367,1
33.23,54.81,65.49,107.64,27.79,57.31,2.42,0.31,1165.2,31.2,5.89,0.675,0
19.75,51.68,102.82,243.24,25.49,71.94,3.63,0.61,2962.3,51.3,8.42,0.305,1
6.01,9.97,17.53,38.45,4.7,26.5,1.48,-0.17,1819.8,31.7,5.21,0.571,0
14.27,34.24,71.6,132.9,17.58,45.02,1.92,0.1,3006.1,41.3,7.78,0.36,0
20.18,74.53,94.53,176.0,20.16,48.3,2.7,-0.1,3013.9,49.5,11.77,0.263,0
2.51,13.1,21.6,37.17,2.63,27.59,1.52,-0.11,1213.9,25.8,4.83,0.615,0
18.74,45.23,89.15,188.09,20.47,85.5,3.06,0.27,794.4,18.5,6.2,0.638,0
31.36,60.12,83.76,135.45,30.4,49.25,1.98,0.17,1536.4,31.1,6.31,0.496,0
36.43,55.89,59.33,67.42,42.6,61.41,2.21,0.45,1013.8,24.4,3.14,0.647,0
38.21,41.63,46.24,126.41,39.39,55.17,1.79,0.5,1859.8,26.6,6.3,0.549,0
48.46,80.15,171.12,259.62,58.29,78.8,4.78,1.65,1980.1,35.4,5.69,0.513,1
7.67,12.48,22.93,60.52,7.22,62.23,1.93,-0.08,1127.9,25.4,3.56,0.636,0
1.42,2.89,4.25,8.07,1.02,37.76,1.35,-0.48,705.6,29.3,2.65,0.673,0
50.71,91.21,127.2,190.46,40.69,52.33,2.35,0.48,1038.9,31.3,3.44,0.604,1
15.45,41.3,81.16,93.41,11.56,71.7,2.75,0.16,1402.5,29.6,3.81,0.68,0
10.75,37.91,85.66,140.04,12.17,50.16,2.38,0.09,1939.7,37.5,5.21,0.47,0
2.87,4.04,7.33,23.56,2.54,35.47,1.53,-0.22,2328.3,37.9,6.27,0.461,0
10.08,20.42,38.62,55.67,13.02,34.33,2.0,-0.16,2158.0,42.2,6.51,0.435,0
1.23,7.21,11.78,23.27,1.14,22.29,1.65,-0.49,2103.2,33.7,6.65,0.482,0
0.6,0.66,1.25,2.64,0.69,21.86,1.65,-0.43,1802.8,35.6,5.68,0.52,0
38.15,54.44,96.1,178.96,35.1,77.47,3.46,0.95,1987.4,37.3,5.58,0.491,0
28.88,49.16,127.42,157.68,30.87,65.47,3.57,0.72,2079.7,46.1,10.37,0.331,0
9.09,49.89,126.56,166.17,9.44,86.25,3.65,-0.01,595.0,14.6,2.55,0.769,0
31.21,48.57,79.1,145.25,38.42,79.91,3.15,1.13,2348.8,34.3,6.69,0.469,1
12.93,46.65,97.57,138.13,11.03,47.34,2.34,-0.12,1566.5,34.0,5.38,0.603,0
15.51,29.96,58.75,108.86,17.14,38.4,1.68,-0.13,2214.1,43.9,6.48,0.415,0
6.58,32.26,40.08,79.38,5.32,45.91,2.03,-0.09,1791.9,28.6,7.14,0.464,0
30.22,43.61,84.11,176.44,25.79,71.47,3.2,0.71,2661.4,45.0,10.99,0.187,0
35.79,54.19,88.07,223.58,31.69,62.67,2.47,0.54,1328.4,26.8,3.8,0.592,0
11.51,41.11,106.8,245.89,10.96,87.13,4.42,0.07,2411.1,41.8,6.56,0.367,0
13.73,15.88,24.76,75.44,13.21,52.13,1.61,0.0,3189.5,50.0,9.69,0.153,0
4.53,13.47,21.39,52.98,5.15,41.89,1.42,-0.37,3022.0,48.6,9.5,0.27,0
19.55,26.84,43.45,58.15,21.16,33.11,1.78,-0.02,501.3,22.9,1.61,0.758,0
24.42,26.12,62.07,77.56,28.77,50.38,2.24,0.03,1734.4,34.7,4.66,0.563,0
68.73,116.53,155.39,251.71,48.38,59.67,3.41,0.86,2332.9,35.4,6.79,0.493,1
64.43,115.35,203.98,357.12,83.44,78.25,5.85,2.9,2977.2,39.4,9.05,0.252,1
8.53,19.52,49.18,150.89,8.01,66.93,2.24,0.01,563.5,14.3,3.93,0.707,0
4.64,7.43,30.18,101.89,3.99,43.53,1.26,-0.4,432.7,18.7,1.36,0.848,0
11.65,19.86,31.04,59.33,10.53,50.9,1.62,-0.18,511.8,22.3,5.32,0.609,0
29.52,37.12,78.99,117.07,37.67,42.3,1.81,0.19,2090.5,34.3,6.52,0.488,0
15.72,28.08,62.33,141.32,15.32,59.53,2.17,-0.22,1350.3,23.9,3.6,0.607,0
4.87,27.71,63.05,121.81,3.95,62.32,2.01,-0.32,490.5,23.0,3.11,0.798,0
60.14,112.8,171.82,285.05,63.21,76.97,4.33,1.55,1205.5,22.4,4.86,0.662,1
54.55,94.69,200.61,222.35,60.37,63.53,3.9,1.02,782.3,22.2,2.5,0.693,1
68.93,131.37,193.62,388.59,65.07,85.19,7.35,2.92,2927.0,53.7,8.32,0.286,1
5.4,19.7,39.78,70.97,5.21,49.95,1.95,-0.33,525.8,20.7,3.57,0.781,0
7.19,25.04,36.97,88.5,7.53,59.9,1.96,-0.22,2658.0,39.1,7.8,0.344,0
8.29,10.65,23.12,39.93,9.36,59.45,1.9,-0.32,1068.8,23.1,3.32,0.668,0
7.04,15.68,40.68,199.43,8.0,77.24,1.98,-0.12,630.8,27.2,2.05,0.738,1
26.72,49.55,71.2,238.4,24.15,60.6,1.99,0.07,720.7,27.7,5.97,0.567,0
18.08,30.77,57.93,119.53,12.92,64.48,1.98,0.11,641.8,22.7,2.78,0.738,0
25.78,53.07,77.9,155.97,26.77,55.26,2.47,0.23,1679.7,34.8,5.39,0.637,0
23.37,63.24,76.28,272.47,22.79,79.3,2.96,0.64,2054.5,28.7,5.73,0.495,0
18.83,45.11,79.01,126.88,20.5,45.86,2.18,0.18,2825.0,41.8,13.03,0.24,0
26.72,40.0,72.19,112.32,23.33,46.61,1.9,0.0,1770.7,33.4,7.77,0.475,0
5.41,17.23,21.53,46.86,3.93,59.09,1.71,-0.13,705.0,20.0,2.16,0.656,0
11.32,36.03,58.06,129.84,8.21,56.52,2.32,-0.02,2447.0,46.8,10.27,0.348,0
5.28,37.28,51.17,76.32,5.49,49.41,1.56,-0.15,2411.0,48.4,7.18,0.33,0
14.25,39.83,142.96,269.11,10.57,63.9,3.08,-0.19,1562.8,32.9,6.03,0.565,0
26.8,32.69,59.55,171.92,28.78,50.0,1.61,0.21,1741.0,32.1,6.45,0.455,0
40.65,50.51,83.51,134.48,52.26,78.39,2.9,1.27,1091.6,29.7,4.48,0.687,1
23.38,33.24,57.31,106.57,25.38,62.57,2.51,0.4,3125.7,57.9,11.67,0.238,0
49.31,87.19,115.27,184.31,51.8,67.08,3.33,1.22,1298.2,32.6,3.49,0.626,1
35.12,54.49,165.92,220.36,38.58,76.61,5.03,1.11,3156.0,49.6,8.6,0.282,1
28.45,34.22,70.36,101.25,31.12,66.89,2.39,0.71,2587.4,41.5,9.42,0.339,0
2.11,5.85,16.29,27.1,2.73,28.65,1.91,-0.26,1166.5,25.3,6.72,0.626,0
13.49,17.18,20.15,48.17,11.37,44.58,1.86,-0.19,2438.5,39.2,6.58,0.424,0
5.1,10.54,26.73,50.58,4.68,36.24,1.47,-0.12,2131.6,35.0,5.62,0.52,0
22.53,53.95,96.65,135.73,23.53,64.75,2.96,0.26,2276.3,34.9,7.17,0.434,0
59.51,111.77,127.38,229.03,43.17,81.51,4.34,1.21,1802.0,35.9,10.59,0.448,1
52.67,118.96,225.81,246.16,55.0,61.19,4.17,0.84,1615.5,25.9,4.76,0.62,1
6.91,18.29,34.7,53.35,5.06,34.82,1.69,-0.39,622.6,22.3,2.59,0.754,0
3.28,4.68,9.42,27.3,2.81,36.54,2.04,-0.38,2555.4,52.5,6.88,0.371,0
15.29,30.14,46.72,77.22,12.46,67.27,2.25,0.11,2989.5,40.4,8.2,0.238,0
6.21,26.58,82.95,146.98,7.21,66.62,2.67,-0.2,1377.6,33.9,5.44,0.571,0
2.8,14.1,37.89,77.52,3.5,41.34,1.7,-0.2,1922.8,31.6,7.49,0.566,0
12.1,30.13,59.27,117.51,15.71,45.61,2.22,-0.13,1677.4,51.5,5.37,0.563,0
31.08,66.83,81.51,150.3,25.24,69.3,2.86,0.52,2575.1,44.9,8.32,0.437,0
11.84,33.55,36.27,64.44,11.48,45.13,1.9,-0.06,1648.7,35.0,5.91,0.548,0
9.56,54.56,72.2,150.62,11.46,75.47,2.59,0.01,851.2,22.3,4.19,0.758,0
56.68,96.56,157.12,178.59,43.54,60.75,3.39,0.57,1465.1,32.3,5.95,0.545,1
50.54,91.68,137.47,231.75,51.58,57.33,3.13,0.69,2306.2,41.8,7.96,0.389,0
1.5,7.79,22.72,42.91,1.84,43.4,1.78,-0.45,2688.4,44.8,8.86,0.372,0
39.7,76.73,139.94,243.88,40.46,75.92,3.77,0.78,1623.9,28.5,5.08,0.478,1
17.89,22.83,49.34,79.21,17.17,47.87,2.21,-0.13,1983.7,40.5,5.92,0.453,0
7.06,8.43,10.0,17.08,7.94,38.98,1.29,-0.02,1977.5,36.7,5.15,0.514,0
23.69,62.61,89.92,174.49,17.34,55.79,2.44,-0.08,3031.5,41.5,8.63,0.327,0
32.78,60.83,88.74,195.83,34.85,73.7,3.74,0.84,2652.4,43.3,6.93,0.376,0
6.26,11.0,12.49,14.03,5.41,44.37,1.55,-0.27,2394.7,51.0,6.39,0.478,0
12.21,27.31,45.62,140.77,12.53,68.44,2.13,0.05,510.5,29.2,1.62,0.811,0
36.16,69.61,99.21,147.64,40.11,51.87,2.14,0.47,957.8,29.1,2.8,0.701,0
19.36,31.0,43.25,75.95,21.76,61.11,1.96,0.12,639.3,27.4,1.87,0.777,0
12.63,22.4,45.97,55.1,14.5,60.51,2.56,-0.03,3007.9,52.7,11.3,0.293,0
44.42,83.07,104.44,156.92,48.65,81.02,3.53,1.27,1173.2,30.8,3.85,0.605,1
5.32,14.79,33.49,41.09,5.39,50.96,1.91,-0.28,1193.6,23.8,4.98,0.549,0
9.33,40.28,47.94,117.59,11.5,52.29,1.72,-0.14,656.0,28.2,2.54,0.694,0
54.83,92.71,110.57,180.35,57.49,56.98,3.34,0.99,2387.3,43.5,6.22,0.496,1
16.36,18.73,34.7,57.17,17.52,34.4,1.47,-0.19,1257.8,34.3,3.95,0.573,0
55.99,98.29,175.02,317.94,51.73,81.66,5.45,1.6,1153.7,36.5,4.62,0.684,1
8.21,20.64,44.46,85.54,8.52,37.0,1.84,-0.1,2904.2,43.8,8.26,0.21,0
8.16,12.35,27.09,61.62,6.39,62.2,1.75,0.04,1919.8,37.0,5.43,0.574,0
17.74,29.16,35.44,78.39,14.19,59.21,1.97,0.21,2758.2,39.7,8.8,0.324,0
27.02,63.95,81.18,108.5,22.68,53.64,2.39,-0.04,1647.6,28.5,4.75,0.55,0
1.47,4.49,6.37,11.7,1.44,29.61,1.52,-0.19,2192.9,44.6,6.7,0.44,0
34.3,44.31,108.23,238.1,28.32,64.35,2.69,0.63,2653.6,45.6,7.0,0.348,0
27.59,34.18,76.83,132.66,28.75,48.04,2.17,0.12,2198.4,36.0,6.54,0.478,0
4.78,9.78,11.91,13.73,5.06,44.11,1.65,-0.17,835.6,31.0,3.06,0.676,0
25.78,47.44,137.07,168.28,18.62,83.5,3.31,0.27,904.1,11.5,2.53,0.784,0
36.44,89.33,162.35,217.42,41.85,72.92,4.41,1.15,2616.6,38.6,7.42,0.36,1
17.34,53.93,132.0,267.17,18.41,81.6,4.0,0.48,1580.5,29.3,4.39,0.639,1
7.15,12.84,44.04,76.24,7.64,37.01,2.25,-0.28,2048.0,36.6,8.29,0.409,0
5.49,9.81,37.67,83.76,5.99,48.58,1.6,-0.12,1081.3,26.6,7.53,0.572,0
10.04,40.78,78.71,125.1,7.56,67.56,3.07,0.11,1972.3,38.7,5.98,0.516,0
24.17,70.66,108.95,168.1,30.34,58.74,2.82,0.39,2419.4,45.2,6.48,0.502,0
3.15,23.15,57.9,69.16,3.94,57.33,2.25,-0.23,565.8,22.8,2.56,0.731,0
3.44,4.85,10.19,19.11,2.93,43.19,1.86,-0.3,2247.6,38.0,7.56,0.419,0
19.02,38.43,67.52,95.96,19.21,49.04,2.0,-0.18,811.7,26.1,2.28,0.745,0
44.75,73.64,135.67,299.82,46.87,74.75,4.49,1.46,2859.2,51.1,7.44,0.423,1
5.94,14.21,25.95,60.13,5.49,63.54,1.82,0.0,1858.7,33.9,6.44,0.5,0
23.08,63.39,114.48,161.47,22.26,75.18,3.85,0.5,2055.1,39.1,7.55,0.42,0
14.6,27.34,37.0,62.18,15.47,61.99,1.82,-0.01,1177.1,19.4,5.86,0.471,0
42.06,70.17,151.02,252.52,47.05,82.78,3.62,1.31,592.7,21.2,2.23,0.765,1
28.22,70.77,116.6,256.15,30.67,59.4,3.02,0.23,2039.8,37.3,5.6,0.545,0
35.25,87.94,109.33,222.05,41.39,74.1,3.27,0.7,698.8,22.2,2.22,0.688,1
7.12,8.64,24.28,61.22,7.98,31.17,1.55,-0.43,3195.8,46.7,16.15,0.069,0
54.29,62.25,119.93,247.1,53.35,64.73,3.05,1.13,1403.5,32.3,4.39,0.597,1
10.22,37.01,65.97,214.5,10.84,56.26,2.35,-0.04,1545.7,28.4,4.61,0.628,0
5.73,8.11,9.62,24.76,6.05,49.22,1.34,-0.12,1492.4,24.4,5.34,0.638,0
63.98,128.15,150.82,186.29,76.69,65.83,3.5,1.46,1755.0,31.3,4.85,0.656,1
7.44,12.18,21.84,69.8,6.15,43.0,1.47,-0.11,1991.9,28.3,5.57,0.561,0
6.57,17.09,52.44,90.36,5.98,63.05,2.45,-0.08,2610.3,39.9,9.51,0.41,0
34.18,40.91,56.05,125.55,44.39,63.06,2.17,0.49,771.2,23.2,4.0,0.749,0
34.92,64.92,104.0,160.51,43.15,71.2,3.14,0.98,2680.2,41.3,8.68,0.404,1
23.25,27.81,59.69,116.91,20.08,50.45,1.64,0.09,609.6,22.9,1.79,0.773,0
10.22,25.22,52.87,68.26,12.54,38.55,1.77,-0.14,1095.1,26.5,5.2,0.568,0
6.82,19.81,26.14,73.08,7.0,58.98,2.05,-0.1,616.9,25.4,2.09,0.763,0
32.04,47.76,91.15,170.65,29.39,65.5,2.4,0.48,1283.6,28.0,4.42,0.651,0
80.33,139.18,159.08,291.6,77.08,81.05,5.0,2.87,2619.7,38.2,7.73,0.463,1
38.31,74.77,86.31,138.1,28.45,50.89,2.21,0.0,1358.8,28.1,4.88,0.679,0
32.97,51.74,65.18,143.93,42.62,70.73,2.27,1.0,1856.1,30.8,5.01,0.62,0
16.18,25.58,80.44,186.3,13.52,75.74,3.24,0.24,2500.3,49.6,7.5,0.432,0
45.33,73.96,96.21,147.18,47.67,55.83,2.54,0.44,2027.2,33.8,7.04,0.449,0
15.57,39.43,51.22,172.34,19.38,63.43,2.22,0.12,1445.2,29.8,5.4,0.54,0
45.46,60.86,77.52,88.95,48.45,41.2,2.15,0.35,2395.8,43.0,10.62,0.291,0
15.51,31.51,61.04,175.25,15.61,65.55,2.62,-0.01,926.7,42.8,3.51,0.728,0
0.77,1.72,2.99,5.94,0.76,40.2,1.83,-0.19,2846.8,48.2,8.36,0.338,0
35.15,91.81,180.05,379.98,25.3,73.79,4.99,0.27,478.3,31.6,4.2,0.722,1
33.56,53.07,99.43,166.89,26.3,55.76,2.79,0.51,3173.0,58.0,8.53,0.299,0
15.28,30.6,64.43,95.94,17.34,42.23,1.61,-0.04,793.8,21.1,2.44,0.775,0
40.29,63.74,126.39,193.96,30.46,78.18,4.35,0.7,2364.5,41.0,6.53,0.51,1
10.21,13.89,32.61,45.07,11.65,37.68,1.86,-0.02,1417.6,37.3,5.2,0.592,0
61.42,112.26,149.29,246.89,74.06,79.42,4.08,2.23,1740.6,34.6,9.98,0.278,1
37.31,59.66,81.13,132.38,27.06,64.06,2.45,0.32,915.9,23.5,2.99,0.647,0
18.8,29.43,32.36,53.22,14.64,31.06,1.54,-0.4,536.6,30.9,6.04,0.64,0
1.55,2.37,17.66,26.42,1.6,34.23,1.38,-0.14,2823.0,54.3,7.43,0.412,0
7.21,34.51,81.84,130.01,8.14,76.94,2.92,0.01,2320.0,38.2,7.58,0.456,0
15.63,51.09,78.29,173.68,13.18,56.31,2.26,0.16,2632.7,42.9,8.96,0.342,0
14.13,19.43,27.94,59.38,18.12,48.37,1.26,-0.01,626.8,29.1,2.79,0.843,0
1.3,7.63,13.88,28.45,1.64,28.04,1.88,-0.12,2421.5,42.1,6.77,0.394,0
33.33,50.67,65.57,125.87,24.2,71.38,2.91,0.27,1383.4,28.4,3.75,0.648,0
28.77,59.34,73.43,168.41,25.91,81.88,2.52,0.61,1533.8,23.5,6.16,0.522,0
8.65,36.38,82.33,107.0,10.7,61.96,2.61,-0.19,2232.6,35.7,6.83,0.404,0
70.41,85.99,94.8,271.29,73.66,63.26,2.8,1.27,1213.4,30.1,5.55,0.592,1
11.72,16.53,19.11,47.16,13.44,51.92,1.83,-0.3,1518.2,25.2,4.48,0.73,0
28.7,48.11,76.0,109.68,30.34,42.36,1.72,0.15,1618.2,38.0,5.14,0.57,0
35.11,39.5,69.51,120.41,24.93,69.78,2.95,0.28,1959.4,34.6,7.9,0.479,0
49.35,75.99,98.9,166.06,42.62,72.03,3.72,1.29,2124.2,45.7,5.73,0.518,1
6.09,21.04,42.49,53.12,5.38,57.0,1.79,-0.33,1048.1,19.5,3.49,0.689,0
3.4,5.69,7.95,15.86,3.39,28.12,1.54,-0.48,2130.3,35.8,8.26,0.393,0
20.76,28.94,66.1,106.0,19.83,67.05,2.45,0.09,902.5,27.8,3.19,0.694,0
4.25,16.54,31.37,46.08,5.43,47.81,1.81,-0.16,2341.2,41.1,8.19,0.347,0
8.97,11.44,27.46,32.7,10.83,53.35,1.85,-0.04,1550.9,35.0,4.82,0.531,0
7.92,27.2,62.33,113.13,5.66,51.69,1.9,-0.09,1396.8,33.6,3.71,0.654,0
5.79,14.65,31.52,84.31,4.61,62.72,2.1,-0.28,1926.6,31.4,5.52,0.55,0
34.15,56.39,83.66,161.77,31.89,68.79,2.99,0.73,2603.7,42.7,9.43,0.276,0
12.71,15.46,28.17,62.91,12.9,59.13,1.64,-0.0,937.5,23.2,3.15,0.687,0
48.24,80.32,94.04,175.64,60.28,52.45,2.59,0.78,2719.9,44.0,7.56,0.388,0
8.4,15.7,28.66,61.2,6.54,52.37,1.5,-0.16,738.4,17.1,3.3,0.737,0
14.84,22.78,50.36,64.43,10.98,56.54,2.09,0.15,2912.3,55.4,8.06,0.379,0
6.83,32.37,85.27,99.95,6.2,73.4,3.02,-0.26,1277.7,32.7,8.01,0.39,0
12.28,32.3,37.87,60.38,9.0,48.9,1.23,-0.24,938.9,25.5,5.55,0.646,0
12.67,20.25,36.33,50.47,11.99,62.38,1.77,0.11,2191.1,32.0,7.34,0.364,0
32.92,48.06,72.45,124.39,28.99,56.69,2.76,0.3,2558.3,36.8,7.27,0.406,0
9.04,65.06,107.66,192.09,9.45,73.84,2.91,-0.14,617.8,15.1,4.53,0.686,0
52.08,86.68,99.2,131.94,58.16,51.37,2.29,0.78,2273.6,41.6,5.98,0.45,1
10.09,20.02,31.48,76.69,11.89,62.75,1.7,-0.14,2192.8,38.3,7.66,0.482,0
17.94,33.59,45.02,87.45,22.05,51.17,1.76,0.21,2429.8,37.1,6.35,0.424,0
23.23,35.69,61.64,104.7,20.62,71.79,2.34,0.2,1453.8,25.9,5.34,0.576,0
29.64,35.14,71.88,96.99,28.13,64.26,2.4,0.27,1395.5,32.8,5.31,0.585,0
47.86,75.1,140.97,235.59,35.98,63.82,3.23,0.37,1202.9,25.9,6.56,0.62,1
13.38,43.16,69.85,152.77,12.45,63.79,2.34,0.07,1549.6,34.2,4.61,0.619,0
38.72,88.82,113.1,156.81,34.63,78.97,3.95,1.2,2472.5,38.7,7.32,0.439,1
21.77,30.12,46.81,118.15,17.92,56.27,2.01,0.13,1787.6,31.8,7.25,0.456,0
25.08,33.43,46.81,74.78,17.91,53.27,1.82,0.14,1037.9,28.5,4.42,0.674,0
10.38,15.68,24.11,40.77,11.68,31.47,1.19,-0.06,1295.1,29.1,4.78,0.579,0
3.86,4.64,9.3,21.29,3.89,45.97,1.37,-0.26,1964.3,37.0,5.11,0.503,0
39.83,52.41,110.51,200.07,31.47,55.96,2.55,0.01,1049.0,15.0,2.91,0.711,0
8.72,18.93,46.27,51.42,6.65,56.05,2.12,-0.02,2795.2,43.1,8.79,0.348,0
22.02,33.2,58.38,99.6,23.19,50.14,1.93,0.1,2561.1,39.4,7.86,0.342,0
12.58,48.92,96.65,111.11,10.82,71.71,2.38,-0.05,877.5,18.5,2.69,0.657,0
40.2,66.57,79.14,121.48,49.81,70.91,2.46,0.91,1347.6,25.5,4.13,0.655,0
59.07,82.92,117.04,275.92,75.07,59.8,2.85,1.22,464.4,23.4,1.44,0.756,1
39.79,60.03,93.43,233.01,51.09,63.8,2.53,1.09,1696.9,33.9,4.85,0.572,0
15.77,28.11,53.45,90.25,16.03,52.99,1.82,0.09,1361.0,20.6,5.34,0.62,0
1.88,2.64,5.53,12.95,2.02,35.0,1.4,-0.29,1638.3,38.1,5.13,0.513,0
57.4,78.29,138.19,171.71,49.92,78.5,3.79,1.11,1440.4,25.7,4.83,0.671,1
20.32,44.28,84.94,134.42,24.17,60.73,1.99,0.28,960.9,21.0,4.16,0.698,0
24.76,27.69,91.03,137.47,27.28,52.17,2.32,0.14,807.2,25.9,6.57,0.558,0
8.09,13.32,51.64,112.43,9.96,41.4,2.15,-0.02,1971.4,37.0,7.01,0.513,0
9.95,31.26,36.33,85.6,9.94,44.26,1.71,-0.33,2928.7,50.2,7.79,0.291,0
16.01,33.63,67.26,126.14,14.21,63.28,2.07,-0.23,698.9,18.8,2.26,0.757,0
8.47,15.2,24.66,50.12,6.34,40.45,1.45,-0.07,1862.8,26.5,6.69,0.571,0
30.02,47.92,91.15,187.57,31.46,67.39,2.64,0.64,1036.6,32.5,3.41,0.61,1
23.19,38.77,49.04,65.99,27.34,62.85,2.3,0.23,957.6,28.5,2.68,0.75,0
34.81,56.62,110.33,194.3,43.44,56.13,2.43,0.44,627.5,21.1,3.37,0.725,1
3.46,9.11,13.06,24.92,3.1,45.66,1.53,-0.41,619.2,15.4,2.55,0.839,0
12.3,28.11,37.06,78.16,11.05,60.99,2.39,-0.17,2316.5,33.5,7.09,0.465,0
77.84,115.33,196.04,274.83,76.75,63.28,3.72,1.42,1291.4,26.4,6.91,0.478,1
74.93,146.93,213.3,440.17,65.53,79.78,6.96,2.66,2996.0,51.5,8.92,0.389,1
15.9,26.55,42.65,64.0,14.43,45.36,1.9,-0.3,521.8,17.5,2.05,0.789,0
27.42,59.93,130.96,141.75,24.24,68.04,3.39,0.15,1808.5,31.8,7.41,0.437,0
19.63,59.3,89.32,108.69,23.79,58.9,2.68,0.0,989.2,32.5,3.34,0.698,0
1.4,2.27,4.8,7.13,1.13,40.66,1.77,-0.11,2377.5,45.6,6.31,0.48,0
41.51,87.8,154.08,213.05,52.69,54.59,3.4,0.84,2547.7,43.8,8.15,0.338,0
16.2,27.33,54.49,70.74,18.48,52.17,2.61,-0.09,2749.1,45.8,9.09,0.23,0
9.97,13.77,18.29,43.4,9.65,30.69,1.54,-0.05,2952.8,50.4,10.07,0.268,0
33.62,47.45,57.22,86.58,27.09,68.34,2.73,0.52,644.5,27.5,2.31,0.726,0
3.81,6.06,19.01,62.88,4.54,42.14,1.65,-0.1,2693.9,46.6,7.29,0.351,0
30.71,52.21,80.01,142.55,31.74,44.24,2.4,0.29,3033.7,53.6,8.07,0.299,0
5.89,36.01,59.27,88.37,6.24,50.96,2.37,-0.3,2522.4,42.1,9.15,0.253,0
27.99,52.77,89.21,214.37,29.68,54.66,2.61,0.3,2280.5,41.9,6.07,0.401,0
17.24,35.34,69.11,74.86,20.9,61.36,2.42,0.28,1304.0,29.2,5.94,0.463,0
4.92,5.23,7.81,9.68,5.69,30.69,1.65,-0.18,947.7,31.1,3.22,0.697,0
4.47,5.07,10.79,13.78,4.96,37.37,1.62,-0.35,3056.2,51.2,9.73,0.36,0
32.48,54.47,59.03,126.47,30.31,63.63,1.99,0.39,1475.0,27.8,5.64,0.543,0
42.58,64.07,77.77,91.74,36.07,60.09,1.92,0.51,847.7,20.6,2.6,0.779,0
54.77,77.99,126.43,259.5,58.99,80.74,4.28,2.04,2566.1,35.0,12.46,0.267,1
25.03,57.07,68.88,85.88,31.02,38.59,2.02,0.02,1428.6,30.4,5.08,0.611,0
24.29,36.88,61.01,77.22,20.52,42.18,1.91,-0.19,783.0,26.3,3.84,0.722,0
17.39,29.21,37.3,46.06,18.73,64.95,2.02,0.15,1630.4,20.0,9.58,0.446,0
9.17,18.64,40.75,71.16,7.68,39.76,1.72,-0.19,1367.7,28.6,3.73,0.631,0
33.1,43.85,124.37,264.72,29.73,63.61,3.18,0.38,1614.2,29.1,6.84,0.511,0
34.28,39.64,84.06,106.75,35.64,42.43,1.55,0.27,1433.4,32.8,4.87,0.625,0
22.11,40.56,49.49,183.25,26.25,73.19,2.25,0.31,1309.7,25.2,3.88,0.698,0
9.09,17.14,26.06,40.15,11.23,50.54,1.23,-0.29,645.7,25.2,6.23,0.715,0
44.33,58.31,98.34,271.87,48.79,91.88,3.57,1.69,997.6,23.5,4.94,0.588,1
6.06,19.8,60.09,118.11,6.05,52.93,2.27,-0.24,2155.7,38.4,6.85,0.438,0
18.4,22.24,46.31,88.99,14.12,72.96,2.57,0.0,1724.6,27.0,6.15,0.498,0
39.85,121.38,194.4,310.52,47.83,61.31,3.65,0.88,1201.7,29.9,3.73,0.65,1
66.88,74.67,128.43,201.16,54.85,55.64,3.12,1.06,1938.0,44.5,8.42,0.373,1
15.7,30.14,52.07,73.52,12.02,59.97,2.53,-0.13,1565.3,38.3,4.16,0.604,0
30.24,56.88,109.05,133.81,29.19,77.48,3.92,0.79,1756.1,37.4,6.96,0.534,0
2.09,6.43,14.91,22.21,2.59,32.11,1.85,-0.43,3191.6,51.1,11.56,0.187,0
32.19,41.62,96.99,139.01,26.14,78.29,2.91,0.59,1046.7,25.4,2.96,0.686,0
16.54,24.5,43.56,66.3,18.2,37.12,1.68,-0.21,2353.1,45.6,6.26,0.424,0
21.46,36.67,57.51,97.28,25.84,54.01,2.43,0.28,2441.9,33.9,7.28,0.405,0
28.33,57.88,105.04,123.53,25.53,72.43,3.46,0.48,2527.7,32.3,6.63,0.485,0
8.74,25.71,54.26,80.28,7.09,46.99,2.22,-0.07,2318.8,38.2,6.52,0.483,0
43.55,73.57,88.1,205.2,49.94,54.59,2.75,0.83,2684.4,47.3,7.31,0.325,0
25.16,77.07,97.43,226.83,20.87,61.25,2.52,-0.04,784.4,21.6,3.84,0.748,0
